Status;Revenue Model;Ownership;Society;EUR APC;License Type Offered;General Subject Category
P-Current publication;OO;N-Society Owned;Association for Family Therapy and Systemic Practice;;CC-BY to all;Psychology
P-Current publication;OO;N-Society Owned;Association of Field Ornithologists;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;N-Society Owned;Fisheries Society of the British Isles;;CC-BY to all;Agriculture, Aquaculture & Food Science
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Agriculture, Aquaculture & Food Science
P-Current publication;OA;J-Joint Owned;Wiley and CIWEM;2000;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Agriculture, Aquaculture & Food Science
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Agriculture, Aquaculture & Food Science
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Agriculture, Aquaculture & Food Science
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Agriculture, Aquaculture & Food Science
P-Current publication;OO;N-Society Owned;Institute of Food Technologists;;CC-BY to all;Agriculture, Aquaculture & Food Science
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;American Academy of Forensic Sciences;;CC-BY mandate only;Life Sciences
P-Current publication;OO;J-Joint Owned;Wiley & Journal of Gastroenterology and Hepatology Foundation;;CC-BY to all;Medicine
P-Current publication;OA;N-Society Owned;Japan Primary Care Association;2255;CC-BY mandate only;Medicine
P-Current publication;OO;N-Society Owned;National Society of Genetic Counselors;;CC-BY to all;Life Sciences
P-Current publication;OO;N-Society Owned;American Geophysical Union;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;N-Society Owned;American Geophysical Union;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;N-Society Owned;American Geophysical Union;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;N-Society Owned;American Geophysical Union;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;N-Society Owned;American Geophysical Union;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;N-Society Owned;American Geophysical Union;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;N-Society Owned;American Geophysical Union;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Mathematics & Statistics
P-Current publication;OO;N-Society Owned;American Society for Healthcare Risk Management;;CC-BY to all;Nursing, Dentistry & Healthcare
P-Current publication;OO;N-Society Owned;Japanese Society of Hepato-Biliary-Pancreatic Surgery;;CC-BY to all;Medicine
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Chemistry
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;British Dietetic Association;;CC-BY to all;Nursing, Dentistry & Healthcare
P-Current publication;OO;N-Society Owned;American Counseling Association (ACA);;CC-BY to all;Psychology
P-Current publication;OO;N-Society Owned;Yale University;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;N-Society Owned;Society for the Study of Inborn Errors of Metabolism;;CC-BY to all;Medicine
P-Current publication;OO;N-Society Owned;CAS Institute of Botany;;CC-BY to all;Life Sciences
P-Current publication;OO;J-Joint Owned;Blackwell & International Association of the Scientific Study of Intellectual Disabilities;;CC-BY to all;Nursing, Dentistry & Healthcare
P-Current publication;OO;N-Society Owned;Interior Design Educators Council;;CC-BY to all;Architecture & Planning
P-Current publication;OO;N-Society Owned;Association for the Publication of the Journal of;;CC-BY to all;Medicine
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Psychology
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Chemistry
R-To be sold/Transfrd;OO;J-Joint Owned;Blackwell/Editor;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;American Anthropological Association;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;Cardiff University;;CC-BY to all;Law & Criminology
P-Current publication;OO;N-Society Owned;University of Phoenix;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;Academy of Legal Studies in Business;;CC-BY mandate only;Law & Criminology
P-Current publication;OO;N-Society Owned;Society for Leukocyte Biology;;CC-BY to all;Medicine
P-Current publication;OO;N-Society Owned;American Anthropological Association;;CC-BY to all;Humanities
P-Current publication;OO;N-Society Owned;International Society for Magnetic Resonance in Medicine;;CC-BY mandate only;Medicine
P-Current publication;OO;J-Joint Owned;Blackwell & Society for the Advancement of Managment Studies;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;American Association for Marriage and Family Therapy;;CC-BY to all;Psychology
P-Current publication;OO;N-Society Owned;National Council on Family Relations;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Chemistry
P-Current publication;OO;N-Society Owned;The Royal Australian and New Zealand College of Radiologists;;CC-BY to all;Medicine
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Medicine
P-Current publication;OA;N-Society Owned;Australian Society of Medical Imaging and Radiation Therapy;1800;CC-BY to all;Medicine
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;N-Society Owned;Royal Microscopical Society;;CC-BY to all;Chemistry
P-Current publication;OO;N-Society Owned;American College of Nurse Midwives (ACNM);;CC-BY to all;Nursing, Dentistry & Healthcare
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Chemistry
P-Current publication;OO;N-Society Owned;Ohio State University Dept of Economics;;CC-BY mandate only;Business, Economics, Finance & Accounting
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;American Counseling Association (ACA);;CC-BY to all;Psychology
P-Current publication;OO;N-Society Owned;International Society for Neurochemistry;;CC-BY to all;Life Sciences
P-Current publication;OO;N-Society Owned;British Society for Neuroendocrinology;;CC-BY to all;Life Sciences
P-Current publication;OO;N-Society Owned;American Society of Neuroimaging;;CC-BY mandate only;Medicine
P-Current publication;OO;N-Society Owned;British Psychological Society (BPS);;CC-BY mandate only;Psychology
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Nursing, Dentistry & Healthcare
P-Current publication;OO;N-Society Owned;Sigma Theta Tau International The Honor Society of Nursing;;CC-BY mandate only;Nursing, Dentistry & Healthcare
P-Current publication;OO;N-Society Owned;Japan Society of Obstetrics and Gynecology;;CC-BY mandate only;Medicine
P-Current publication;OO;N-Society Owned;British Psychological Society (BPS);;CC-BY mandate only;Psychology
P-Current publication;OA;N-Society Owned;The Japan Society for Occupational Health;TBD;CC-BY mandate only;Nursing, Dentistry & Healthcare
P-Current publication;OO;N-Society Owned;APICS, Inc.;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Nursing, Dentistry & Healthcare
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Nursing, Dentistry & Healthcare
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;Orthopaedic Research Society;;CC-BY to all;Medicine
P-Current publication;OO;N-Society Owned;The Royal Australasian College of Physicians;;CC-BY mandate only;Medicine
P-Current publication;OO;N-Society Owned;American Society for Parenteral and Enteral Nutrition;;CC-BY mandate only;Nursing, Dentistry & Healthcare
P-Current publication;OO;J-Joint Owned;Wiley & European Peptide Society;;CC-BY to all;Chemistry
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Nursing, Dentistry & Healthcare
P-Current publication;OO;N-Society Owned;American Academy of Periodontology;;CC-BY to all;Nursing, Dentistry & Healthcare
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Psychology
P-Current publication;OO;N-Society Owned;Scientific Press;;CC-BY to all;Earth, Space & Environmental Sciences
R-To be sold/Transfrd;OO;N-Society Owned;Royal Pharmaceutical Society (RPSGB);;CC-BY to all;Medicine
R-To be sold/Transfrd;OO;N-Society Owned;Royal Pharmaceutical Society;;CC-BY to all;Chemistry
P-Current publication;OO;N-Society Owned;Society of Hospital Pharmacists of Australia (SHPA);;CC-BY mandate only;Medicine
P-Current publication;OO;N-Society Owned;Philosophy of Education Society of Great Britain;;CC-BY to all;Humanities
P-Current publication;OO;N-Society Owned;Phycological Society of America;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Chemistry
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley-VCH;;CC-BY to all;Agriculture, Aquaculture & Food Science
P-Current publication;OO;N-Society Owned;Association for Public Policy and Management;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;J-Joint Owned;Blackwell & International Association of the Scientific Study of Intellectual Disabilities;;CC-BY to all;Nursing, Dentistry & Healthcare
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;N-Society Owned;American College of Prosthodontists;;CC-BY to all;Nursing, Dentistry & Healthcare
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Nursing, Dentistry & Healthcare
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;American Association of Public Health Dentistry;;CC-BY to all;Nursing, Dentistry & Healthcare
P-Current publication;OO;N-Society Owned;Quaternary Research Association;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Chemistry
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;Editorial Board;;CC-BY to all;Humanities
P-Current publication;OO;N-Society Owned;Religious History Society;;CC-BY mandate only;Humanities
P-Current publication;OO;N-Society Owned;European Dialysis & Transplant Nurses Association/European Renal Care Association;;CC-BY mandate only;Nursing, Dentistry & Healthcare
P-Current publication;OO;N-Society Owned;United Kingdom Literacy Association;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;National Association for Research in Science Teaching;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;National Association for Special Educational Needs;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;Society for Research on Adolescence;;CC-BY mandate only;Psychology
P-Current publication;OO;N-Society Owned;American Risk and Insurance Association;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;American School Health Association;;CC-BY to all;Nursing, Dentistry & Healthcare
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Agriculture, Aquaculture & Food Science
P-Current publication;OO;O-Proprietary Owned;Wiley-VCH;;CC-BY to all;Chemistry
P-Current publication;OO;N-Society Owned;European Sleep Research Society;;CC-BY mandate only;Medicine
P-Current publication;OO;N-Society Owned;British Small Animal Veterinary Association;;CC-BY mandate only;Veterinary Medicine
P-Current publication;OO;N-Society Owned;Society for the Psychological Study of Social Issues;;CC-BY to all;Psychology
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Humanities
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Humanities
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Computer Science  & Information Technology
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;Supreme Court Historical Society;;CC-BY to all;Humanities
P-Current publication;OO;N-Society Owned;American Oil Chemists' Society;;CC-BY to all;Chemistry
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Medicine
P-Current publication;OO;N-Society Owned;International Union of Crystallography;;CC-BY only;Earth, Space & Environmental Sciences
P-Current publication;OO;N-Society Owned;Botanical Society of China;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Agriculture, Aquaculture & Food Science
P-Current publication;OO;N-Society Owned;American Ceramic Society (ACerS);;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;N-Society Owned;� Pharmacotherapy Publications, Inc;;CC-BY mandate only;Medicine
P-Current publication;OA;N-Society Owned;American Heart Association;2206;CC-BY mandate only;Medicine
P-Current publication;OO;N-Society Owned;American Oil Chemists' Society;;CC-BY to all;Chemistry
P-Current publication;OO;N-Society Owned;American Water Resources Association;;CC-BY mandate only;Earth, Space & Environmental Sciences
P-Current publication;OO;N-Society Owned;Association for Information Science and Technology;;CC-BY to all;Computer Science  & Information Technology
P-Current publication;OO;J-Joint Owned;Wiley-VCH, Chemical Society located in Taipei;;CC-BY to all;Chemistry
P-Current publication;OO;N-Society Owned;European Academy of Dermatology and Venereology;;CC-BY mandate only;Medicine
P-Current publication;OO;N-Society Owned;Society for the Experimental Analysis of Behavior;;CC-BY to all;Psychology
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Humanities
P-Current publication;OO;N-Society Owned;The Institute of Brewing & Distilling;;CC-BY to all;Agriculture, Aquaculture & Food Science
P-Current publication;OA;N-Society Owned;International AIDS Society;2200;CC-BY only;Medicine
P-Current publication;OO;N-Society Owned;London Mathematical Society;;CC-BY to all;Mathematics & Statistics
P-Current publication;OO;N-Society Owned;Peripheral Nerve Society;;CC-BY to all;Medicine
P-Current publication;OO;N-Society Owned;Royal Statistical Society;;CC-BY mandate only;Mathematics & Statistics
P-Current publication;OO;N-Society Owned;Royal Statistical Society;;CC-BY mandate only;Mathematics & Statistics
P-Current publication;OO;N-Society Owned;Royal Statistical Society;;CC-BY mandate only;Mathematics & Statistics
P-Current publication;OO;N-Society Owned;Society of Chemical Industry;;CC-BY to all;Agriculture, Aquaculture & Food Science
P-Current publication;OO;N-Society Owned;Society for Information Display;;CC-BY mandate only;Physical Sciences & Engineering
P-Current publication;OO/EEO Flipped;N-Society Owned;World Aquaculture Society;1900;CC-BY to all;Agriculture, Aquaculture & Food Science
P-Current publication;OO;O-Proprietary Owned;John Wiley & Sons, Inc.;;CC-BY to all;Psychology
P-Current publication;OO;N-Society Owned;International Society on Thrombosis and Haemostasis;;CC-BY mandate only;Medicine
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Mathematics & Statistics
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Life Sciences
P-Current publication;OO;N-Society Owned;London Mathematical Society;;CC-BY to all;Mathematics & Statistics
P-Current publication;OO;N-Society Owned;International Society for Traumatic Stress Studies;;CC-BY to all;Psychology
P-Current publication;OO;N-Society Owned;American Institute of Ultrasound in Medicine;;CC-BY to all;Medicine
P-Current publication;OO;N-Society Owned;International Association for Vegetation Science;;CC-BY to all;Life Sciences
P-Current publication;OO;N-Society Owned;Veterinary Emergency and Critical Care Society;;CC-BY to all;Veterinary Medicine
P-Current publication;OA;N-Society Owned;American College of Veterinary Internal Medicine;1335;CC-BY mandate only;Veterinary Medicine
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Veterinary Medicine
P-Current publication;OO;N-Society Owned;Society of Plastics Engineers;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Medicine
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Life Sciences
P-Current publication;OO;N-Society Owned;Zoological Society of London;;CC-BY to all;Life Sciences
N-Not yet published;OO;N-Society Owned;Society of Chemical Industry;;CC-BY to all;Agriculture, Aquaculture & Food Science
P-Current publication;OO;N-Society Owned;National Council of Juvenile and Family Court Judges;;CC-BY mandate only;Law & Criminology
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;J-Joint Owned;Fondazione Giacomo Brodolini and John Wiley & Sons Ltd;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Humanities
P-Current publication;OO;N-Society Owned;Language Learning Research Club;;CC-BY to all;Humanities
P-Current publication;OA;N-Society Owned;The Triological Society;1565;CC-BY mandate only;Medicine
P-Current publication;OO;O-Proprietary Owned;Wiley-VCH;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY mandate only;Medicine
P-Current publication;OO;N-Society Owned;Policy Studies Organization;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;J-Joint Owned;Blackwell/University of Denver;;CC-BY to all;Law & Criminology
P-Current publication;OO;N-Society Owned;Law and Society Association;;CC-BY mandate only;Law & Criminology
P-Current publication;OO;N-Society Owned;University of Pittsburgh;;CC-BY only;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;Association of Learned and Professional Society Publishers;;CC-BY to all;Computer Science  & Information Technology
P-Current publication;OO;N-Society Owned;Division for Learning Disabilities of the Council for Exceptional Children;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OA;N-Society Owned;University of Michigan;1693;CC-BY mandate only;Physical Sciences & Engineering
P-Current publication;SUBS;N-Society Owned;GDCh  Gesellschaft Deutscher Chemiker;;CTA;Agriculture, Aquaculture & Food Science
P-Current publication;OO;N-Society Owned;British Psychological Society (BPS);;CC-BY mandate only;Psychology
P-Current publication;OO;N-Society Owned;Washington University in St. Louis;;CC-BY mandate only;Social & Behavioral Sciences
P-Current publication;OA;O-Proprietary Owned;Wiley;2285;CC-BY only;Agriculture, Aquaculture & Food Science
P-Current publication;OO;N-Society Owned;Lethaia Foundation;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;N-Society Owned;Society for Applied Microbiology;;CC-BY to all;Life Sciences
P-Current publication;OO;N-Society Owned;Association for the Sciences of Limnology and Oceanography;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;N-Society Owned;Association for the Sciences of Limnology and Oceanography;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OA;N-Society Owned;Association for the Sciences of Limnology and Oceanography;2006;CC-BY only;Earth, Space & Environmental Sciences
P-Current publication;OO;N-Society Owned;Association for the Sciences of Limnology and Oceanography;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;N-Society Owned;American Oil Chemists' Society;;CC-BY to all;Agriculture, Aquaculture & Food Science
P-Current publication;OO;N-Society Owned;United Kingdom Literacy Association;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Humanities
P-Current publication;OA;O-Proprietary Owned;Wiley;2520;CC-BY only;Medicine
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Medicine
P-Current publication;OO;N-Society Owned;American Association for the Study of Liver Diseases;;CC-BY mandate only;Medicine
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Chemistry
P-Current publication;OO;O-Proprietary Owned;Blackwell Publishing Asia Pty Ltd;;CC-BY to all;Medicine
P-Current publication;OO;O-Proprietary Owned;Wiley-VCH;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Wiley-VCH;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Wiley-VCH;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Wiley-VCH;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Wiley-VCH;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Wiley-VCH;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Wiley-VCH;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Chemistry
P-Current publication;OO;N-Society Owned;International Society for Magnetic Resonance in Medicine;;CC-BY mandate only;Medicine
P-Current publication;OO;J-Joint Owned;Blackwell & The Mammal Society;;CC-BY to all;Life Sciences
P-Current publication;SUBS;O-Proprietary Owned;Wiley;;CTA;Business, Economics, Finance & Accounting
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OA;N-Society Owned;American Fisheries Society;1652;CC-BY only;Agriculture, Aquaculture & Food Science
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Life Sciences
P-Current publication;OO;N-Society Owned;Society for Marine Mammalogy;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Chemistry
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Wiley-VCH;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Wiley-VCH;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OA;O-Proprietary Owned;Blackwell;2200;CC-BY to all;Nursing, Dentistry & Healthcare
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Mathematics & Statistics
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Mathematics & Statistics
P-Current publication;OO;O-Proprietary Owned;Wiley-VCH;;CC-BY to all;Mathematics & Statistics
P-Current publication;SUBS;O-Proprietary Owned;Wiley-VCH;;CTA;Physical Sciences & Engineering
P-Current publication;OO;N-Society Owned;Royal Entomological Society;;CC-BY to all;Life Sciences
P-Current publication;OO;N-Society Owned;American Anthropological Association;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;J-Joint Owned;John Wiley & Sons Ltd and The Association for the Study of Medical Education;;CC-BY to all;Medicine
P-Current publication;OO;N-Society Owned;Australian Medical Publishing Company;;CC-BY to all;Medicine
P-Current publication;OO;N-Society Owned;American Association of Physicists in Medicine (AAPM);;CC-BY mandate only;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Chemistry
P-Current publication;SUBS;O-Proprietary Owned;Wiley;;CTA;Nursing, Dentistry & Healthcare
P-Current publication;OO;J-Joint Owned;Metaphilosophy LLC and Blackwell Publishing Ltd;;CC-BY to all;Humanities
P-Current publication;OO;N-Society Owned;The Meteoritical Society;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OA;N-Society Owned;Royal Meteorological Society;1700;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;N-Society Owned;British Ecological Society;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OA;J-Joint Owned;Blackwell & Society for Applied Microbiology;2100;CC-BY to all;Life Sciences
P-Current publication;OO;J-Joint Owned;Blackwell & Japanese Societies for Bacteriology/Virology/Host-Defence Research;;CC-BY to all;Life Sciences
P-Current publication;OA;O-Proprietary Owned;Wiley;2200;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Medicine
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Medicine
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;N-Society Owned;Middle East Policy Council;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Humanities
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Humanities
P-Current publication;OO;J-Joint Owned;Blackwell & International Mind, Brain, and Education Society;;CC-BY to all;Psychology
P-Current publication;OO;O-Proprietary Owned;Wiley-VCH;;CC-BY to all;Mathematics & Statistics
P-Current publication;OO;N-Society Owned;National Federation of Modern Language Teachers Associations, Inc.;;CC-BY to all;Humanities
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Humanities
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Medicine
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Life Sciences
P-Current publication;OA;O-Proprietary Owned;Wiley;1636;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley-VCH;;CC-BY to all;Chemistry
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley-VCH;;CC-BY to all;Agriculture, Aquaculture & Food Science
P-Current publication;OA;N-Society Owned;Federation of European Biochemical Societies (FEBS);3250;CC-BY only;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Nursing, Dentistry & Healthcare
P-Current publication;OA;J-Joint Owned;Blackwell & British Society for Plant Pathology;1980;CC-BY to all;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Life Sciences
P-Current publication;OA;N-Society Owned;EMBO;3850;CC-BY only;Life Sciences
P-Current publication;OO;N-Society Owned;Society for Research in Child Development;;CC-BY mandate only;Psychology
P-Current publication;OO;N-Society Owned;International Parkinson and Movement Disorder Society;;CC-BY mandate only;Medicine
P-Current publication;OO;N-Society Owned;International Parkinson and Movement Disorder Society;;CC-BY mandate only;Medicine
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Medicine
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Nursing, Dentistry & Healthcare
P-Current publication;OO;N-Society Owned;American Anthropological Association;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;J-Joint Owned;Blackwell & Society for Musical Analysis (SMA);;CC-BY to all;Art & Applied Arts
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Medicine
P-Current publication;OO;J-Joint Owned;Blackwell & Association for the Study of Ethnicity and Nationalism;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;SUBS;O-Proprietary Owned;Wiley;;CTA;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;International Council of Museums;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Mathematics & Statistics
