SN Journals ID;Journal Title;Imprint;Main Discipline;Journal Homepage URL;pISSN;eISSN;Publishing Model;DEAL active from;Facharzt-zeitschrift;APC;BMC discount;OA License Type;Standard Hybrid Specific Workflow;Changes Within Term;Change Valid from (Year);Comments;Record Added;Record Updated
12906;BMC Complementary and Alternative Medicine;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/12906;;1472-6882;Fully Open Access;August 2020;n/a;2040;20;CC BY + CC0;n/a;;;;;
12909;BMC Medical Education;BioMed Central;Education;https://link.springer.com/journal/12909;;1472-6920;Fully Open Access;August 2020;n/a;1790;20;CC BY + CC0;n/a;;;;;
12910;BMC Medical Ethics;BioMed Central;Philosophy;https://link.springer.com/journal/12910;;1472-6939;Fully Open Access;August 2020;n/a;1290;20;CC BY + CC0;n/a;;;;;
12911;BMC Medical Informatics and Decision Making;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/12911;;1472-6947;Fully Open Access;August 2020;n/a;1990;20;CC BY + CC0;n/a;;;;;
12912;BMC Nursing;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/12912;;1472-6955;Fully Open Access;August 2020;n/a;1790;20;CC BY + CC0;n/a;;;;;
12913;BMC Health Services Research;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/12913;;1472-6963;Fully Open Access;August 2020;n/a;2040;20;CC BY + CC0;n/a;;;;;
12914;BMC International Health and Human Rights;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/12914;;1472-698X;Fully Open Access;August 2020;n/a;1790;20;CC BY + CC0;n/a;;;;;
12915;BMC Biology;BioMed Central;Life Sciences;https://link.springer.com/journal/12915;;1741-7007;Fully Open Access;August 2020;n/a;2490;20;CC BY + CC0;n/a;;;;;
12916;BMC Medicine;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/12916;;1741-7015;Fully Open Access;August 2020;n/a;2890;20;CC BY + CC0;n/a;;;;;
12917;BMC Veterinary Research;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/12917;;1746-6148;Fully Open Access;August 2020;n/a;1990;20;CC BY + CC0;n/a;;;;;
12919;BMC Proceedings;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/12919;;1753-6561;Fully Open Access;August 2020;n/a;1690;20;CC BY + CC0;n/a;;;;;
12920;BMC Medical Genomics;BioMed Central;Biomedicine;https://link.springer.com/journal/12920;;1755-8794;Fully Open Access;August 2020;n/a;1990;20;CC BY + CC0;n/a;;;;;
12928;Cardiovascular Intervention and Therapeutics;Springer;Medicine & Public Health;https://link.springer.com/journal/12928;1868-4300;1868-4297;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
12931;Respiratory Research;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/12931;;1465-993X;Fully Open Access;August 2020;n/a;2290;20;CC BY + CC0;n/a;;;;;
12932;Geochemical Transactions;Springer;Earth Sciences;https://link.springer.com/journal/12932;;1467-4866;Fully Open Access;August 2020;n/a;930;20;CC BY + CC0;n/a;;;;;
12933;Cardiovascular Diabetology;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/12933;;1475-2840;Fully Open Access;August 2020;n/a;2570;20;CC BY + CC0;n/a;;;;;
12934;Microbial Cell Factories;BioMed Central;Chemistry;https://link.springer.com/journal/12934;;1475-2859;Fully Open Access;August 2020;n/a;2040;20;CC BY + CC0;n/a;;;;;
12935;Cancer Cell International;BioMed Central;Biomedicine;https://link.springer.com/journal/12935;;1475-2867;Fully Open Access;August 2020;n/a;2290;20;CC BY + CC0;n/a;;;;;
12936;Malaria Journal;BioMed Central;Biomedicine;https://link.springer.com/journal/12936;;1475-2875;Fully Open Access;August 2020;n/a;1870;20;CC BY + CC0;n/a;;;;;
12937;Nutrition Journal;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/12937;;1475-2891;Fully Open Access;August 2020;n/a;2290;20;CC BY + CC0;n/a;;;;;
12938;BioMedical Engineering;BioMed Central;Engineering;https://link.springer.com/journal/12938;;1475-925X;Fully Open Access;August 2020;n/a;1690;20;CC BY + CC0;n/a;;;;;
12939;International Journal for Equity in Health;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/12939;;1475-9276;Fully Open Access;August 2020;n/a;2170;20;CC BY + CC0;n/a;;;;;
12940;Environmental Health :: A Global Access Science Source;BioMed Central;Environment;https://link.springer.com/journal/12940;;1476-069X;Fully Open Access;August 2020;n/a;2040;20;CC BY + CC0;n/a;;;;;
12941;Annals of Clinical Microbiology and Antimicrobials;BioMed Central;Biomedicine;https://link.springer.com/journal/12941;;1476-0711;Fully Open Access;August 2020;n/a;2290;20;CC BY + CC0;n/a;;;;;
12942;International Journal of Health Geographics;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/12942;;1476-072X;Fully Open Access;August 2020;n/a;2170;20;CC BY + CC0;n/a;;;;;
12943;Molecular Cancer;BioMed Central;Biomedicine;https://link.springer.com/journal/12943;;1476-4598;Fully Open Access;August 2020;n/a;3490;20;CC BY + CC0;n/a;;;;;
12944;Lipids in Health and Disease;BioMed Central;Life Sciences;https://link.springer.com/journal/12944;;1476-511X;Fully Open Access;August 2020;n/a;1790;20;CC BY + CC0;n/a;;;;;
12947;Cardiovascular Ultrasound;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/12947;;1476-7120;Fully Open Access;August 2020;n/a;2290;20;CC BY + CC0;n/a;;;;;
12948;Clinical and Molecular Allergy;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/12948;;1476-7961;Fully Open Access;August 2020;n/a;1870;20;CC BY + CC0;n/a;;;;;
12950;Journal of Inflammation;BioMed Central;Biomedicine;https://link.springer.com/journal/12950;;1476-9255;Fully Open Access;August 2020;n/a;2290;20;CC BY + CC0;n/a;;;;;
12951;Journal of Nanobiotechnology;BioMed Central;Chemistry;https://link.springer.com/journal/12951;;1477-3155;Fully Open Access;August 2020;n/a;2290;20;CC BY + CC0;n/a;;;;;
12953;Proteome Science;BioMed Central;Life Sciences;https://link.springer.com/journal/12953;;1477-5956;Fully Open Access;August 2020;n/a;1870;20;CC BY + CC0;n/a;;;;;
12954;Harm Reduction Journal;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/12954;;1477-7517;Fully Open Access;August 2020;n/a;2170;20;CC BY + CC0;n/a;;;;;
12955;Health and Quality of Life Outcomes;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/12955;;1477-7525;Fully Open Access;August 2020;n/a;1990;20;CC BY + CC0;n/a;;;;;
12957;World Journal of Surgical Oncology;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/12957;;1477-7819;Fully Open Access;August 2020;n/a;1990;20;CC BY + CC0;n/a;;;;;
12958;Reproductive Biology and Endocrinology;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/12958;;1477-7827;Fully Open Access;August 2020;n/a;2170;20;CC BY + CC0;n/a;;;;;
12959;Thrombosis Journal;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/12959;;1477-9560;Fully Open Access;August 2020;n/a;1990;20;CC BY + CC0;n/a;;;;;
12960;Human Resources for Health;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/12960;;1478-4491;Fully Open Access;August 2020;n/a;2170;20;CC BY + CC0;n/a;;;;;
12961;Health Research Policy and Systems;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/12961;;1478-4505;Fully Open Access;August 2020;n/a;2170;20;CC BY + CC0;n/a;;;;;
12962;Cost Effectiveness and Resource Allocation;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/12962;;1478-7547;Fully Open Access;August 2020;n/a;1870;20;CC BY + CC0;n/a;;;;;
12963;Population Health Metrics;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/12963;;1478-7954;Fully Open Access;August 2020;n/a;1990;20;CC BY + CC0;n/a;;;;;
12964;Cell Communication and Signaling;BioMed Central;Life Sciences;https://link.springer.com/journal/12964;;1478-811X;Fully Open Access;August 2020;n/a;2890;20;CC BY + CC0;n/a;;;;;
12966;International Journal of Behavioral Nutrition and Physical Activity;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/12966;;1479-5868;Fully Open Access;August 2020;n/a;2170;20;CC BY + CC0;n/a;;;;;
12967;Journal of Translational Medicine;BioMed Central;Biomedicine;https://link.springer.com/journal/12967;;1479-5876;Fully Open Access;August 2020;n/a;2490;20;CC BY + CC0;n/a;;;;;
12968;Journal of Cardiovascular Magnetic Resonance;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/12968;;1532-429X;Fully Open Access;August 2020;n/a;2170;20;CC BY + CC0;n/a;;;;;
12969;Pediatric Rheumatology;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/12969;;1546-0096;Fully Open Access;August 2020;n/a;2290;20;CC BY + CC0;n/a;;;;;
12970;Journal of the International Society of Sports Nutrition;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/12970;;1550-2783;Fully Open Access;August 2020;n/a;2040;20;CC BY + CC0;n/a;;;;;
12974;Journal of Neuroinflammation;BioMed Central;Biomedicine;https://link.springer.com/journal/12974;;1742-2094;Fully Open Access;August 2020;n/a;2380;20;CC BY + CC0;n/a;;;;;
12975;Translational Stroke Research;Springer;Biomedicine;https://link.springer.com/journal/12975;;1868-601X;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
12976;Theoretical Biology and Medical Modelling;BioMed Central;Biomedicine;https://link.springer.com/journal/12976;;1742-4682;Fully Open Access;August 2020;n/a;2040;20;CC BY + CC0;n/a;;;;;
12977;Retrovirology;BioMed Central;Biomedicine;https://link.springer.com/journal/12977;;1742-4690;Fully Open Access;August 2020;n/a;2290;20;CC BY + CC0;n/a;;;;;
12978;Reproductive Health;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/12978;;1742-4755;Fully Open Access;August 2020;n/a;2170;20;CC BY + CC0;n/a;;;;;
12979;Immunity and Ageing;BioMed Central;Biomedicine;https://link.springer.com/journal/12979;;1742-4933;Fully Open Access;August 2020;n/a;2380;20;CC BY + CC0;n/a;;;;;
12981;AIDS Research and Therapy;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/12981;;1742-6405;Fully Open Access;August 2020;n/a;2170;20;CC BY + CC0;n/a;;;;;
12982;Emerging Themes in Epidemiology;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/12982;;1742-7622;Fully Open Access;August 2020;n/a;1790;20;CC BY + CC0;n/a;;;;;
12983;Frontiers in Zoology;BioMed Central;Life Sciences;https://link.springer.com/journal/12983;;1742-9994;Fully Open Access;August 2020;n/a;1990;20;CC BY + CC0;n/a;;;;;
12984;Journal of NeuroEngineering and Rehabilitation;BioMed Central;Biomedicine;https://link.springer.com/journal/12984;;1743-0003;Fully Open Access;August 2020;n/a;2290;20;CC BY + CC0;n/a;;;;;
12985;Virology Journal;BioMed Central;Biomedicine;https://link.springer.com/journal/12985;;1743-422X;Fully Open Access;August 2020;n/a;2040;20;CC BY + CC0;n/a;;;;;
12986;Nutrition and Metabolism;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/12986;;1743-7075;Fully Open Access;August 2020;n/a;2290;20;CC BY + CC0;n/a;;;;;
12987;Fluids and Barriers of the CNS;BioMed Central;Biomedicine;https://link.springer.com/journal/12987;;2045-8118;Fully Open Access;August 2020;n/a;2170;20;CC BY + CC0;n/a;;;;;
12989;Particle and Fibre Toxicology;BioMed Central;Biomedicine;https://link.springer.com/journal/12989;;1743-8977;Fully Open Access;August 2020;n/a;2680;20;CC BY + CC0;n/a;;;;;
12991;Annals of General Psychiatry;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/12991;;1744-859X;Fully Open Access;August 2020;n/a;2040;20;CC BY + CC0;n/a;;;;;
12992;Globalization and Health;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/12992;;1744-8603;Fully Open Access;August 2020;n/a;2040;20;CC BY + CC0;n/a;;;;;
12993;Behavioral and Brain Functions;BioMed Central;Biomedicine;https://link.springer.com/journal/12993;;1744-9081;Fully Open Access;August 2020;n/a;2290;20;CC BY + CC0;n/a;;;;;
12995;Journal of Occupational Medicine and Toxicology;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/12995;;1745-6673;Fully Open Access;August 2020;n/a;2040;20;CC BY + CC0;n/a;;;;;
13000;Diagnostic Pathology;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/13000;;1746-1596;Fully Open Access;August 2020;n/a;2170;20;CC BY + CC0;n/a;;;;;
13002;Journal of Ethnobiology and Ethnomedicine;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/13002;;1746-4269;Fully Open Access;August 2020;n/a;2170;20;CC BY + CC0;n/a;;;;;
13005;Head and Face Medicine;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/13005;;1746-160X;Fully Open Access;August 2020;n/a;1870;20;CC BY + CC0;n/a;;;;;
13006;International Breastfeeding Journal;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/13006;;1746-4358;Fully Open Access;August 2020;n/a;2040;20;CC BY + CC0;n/a;;;;;
13007;Plant Methods;BioMed Central;Life Sciences;https://link.springer.com/journal/13007;;1746-4811;Fully Open Access;August 2020;n/a;2040;20;CC BY + CC0;n/a;;;;;
13008;Cell Division;BioMed Central;Life Sciences;https://link.springer.com/journal/13008;;1747-1028;Fully Open Access;August 2020;n/a;2380;20;CC BY + CC0;n/a;;;;;
13010;Philosophy, Ethics, and Humanities in Medicine;BioMed Central;Philosophy;https://link.springer.com/journal/13010;;1747-5341;Fully Open Access;August 2020;n/a;1060;20;CC BY + CC0;n/a;;;;;
13011;Substance Abuse Treatment, Prevention, and Policy;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/13011;;1747-597X;Fully Open Access;August 2020;n/a;2040;20;CC BY + CC0;n/a;;;;;
13012;Implementation Science;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/13012;;1748-5908;Fully Open Access;August 2020;n/a;2170;20;CC BY + CC0;n/a;;;;;
13014;Radiation Oncology;BioMed Central;Biomedicine;https://link.springer.com/journal/13014;;1748-717X;Fully Open Access;August 2020;n/a;2170;20;CC BY + CC0;n/a;;;;;
13015;Algorithms for Molecular Biology;BioMed Central;Life Sciences;https://link.springer.com/journal/13015;;1748-7188;Fully Open Access;August 2020;n/a;1690;20;CC BY + CC0;n/a;;;;;
13017;World Journal of Emergency Surgery;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/13017;;1749-7922;Fully Open Access;August 2020;n/a;2490;20;CC BY + CC0;n/a;;;;;
13018;Journal of Orthopaedic Surgery and Research;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/13018;;1749-799X;Fully Open Access;August 2020;n/a;2040;20;CC BY + CC0;n/a;;;;;
13019;Journal of Cardiothoracic Surgery;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/13019;;1749-8090;Fully Open Access;August 2020;n/a;2040;20;CC BY + CC0;n/a;;;;;
13020;Chinese Medicine;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/13020;;1749-8546;Fully Open Access;August 2020;n/a;2170;20;CC BY + CC0;n/a;;;;;
13021;Carbon Balance and Management;Springer;Environment;https://link.springer.com/journal/13021;;1750-0680;Fully Open Access;August 2020;n/a;1060;20;CC BY + CC0;n/a;;;;;
13023;Orphanet Journal of Rare Diseases;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/13023;;1750-1172;Fully Open Access;August 2020;n/a;2170;20;CC BY + CC0;n/a;;;;;
13024;Molecular Neurodegeneration;BioMed Central;Biomedicine;https://link.springer.com/journal/13024;;1750-1326;Fully Open Access;August 2020;n/a;2105;20;CC BY + CC0;n/a;;;;;
13027;Infectious Agents and Cancer;BioMed Central;Biomedicine;https://link.springer.com/journal/13027;;1750-9378;Fully Open Access;August 2020;n/a;1990;20;CC BY + CC0;n/a;;;;;
13028;Acta Veterinaria Scandinavica;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/13028;;1751-0147;Fully Open Access;August 2020;n/a;1990;20;CC BY + CC0;n/a;;;;;
13029;Source Code for Biology and Medicine;BioMed Central;Life Sciences;https://link.springer.com/journal/13029;;1751-0473;Fully Open Access;August 2020;n/a;1690;20;CC BY + CC0;n/a;;;;;
13030;BioPsychoSocial Medicine;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/13030;;1751-0759;Fully Open Access;August 2020;n/a;1870;20;CC BY + CC0;n/a;;;;;
13031;Conflict and Health;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/13031;;1752-1505;Fully Open Access;August 2020;n/a;2040;20;CC BY + CC0;n/a;;;;;
13033;International Journal of Mental Health Systems;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/13033;;1752-4458;Fully Open Access;August 2020;n/a;1990;20;CC BY + CC0;n/a;;;;;
13034;Child and Adolescent Psychiatry and Mental Health;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/13034;;1753-2000;Fully Open Access;August 2020;n/a;2040;20;CC BY + CC0;n/a;;;;;
13036;Journal of Biological Engineering;BioMed Central;Engineering;https://link.springer.com/journal/13036;;1754-1611;Fully Open Access;August 2020;n/a;1990;20;CC BY + CC0;n/a;;;;;
13037;Patient Safety in Surgery;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/13037;;1754-9493;Fully Open Access;August 2020;n/a;2040;20;CC BY + CC0;n/a;;;;;
13039;Molecular Cytogenetics;BioMed Central;Biomedicine;https://link.springer.com/journal/13039;;1755-8166;Fully Open Access;August 2020;n/a;2290;20;CC BY + CC0;n/a;;;;;
13040;BioData Mining;BioMed Central;Life Sciences;https://link.springer.com/journal/13040;;1756-0381;Fully Open Access;August 2020;n/a;1690;20;CC BY + CC0;n/a;;;;;
13041;Molecular Brain;BioMed Central;Biomedicine;https://link.springer.com/journal/13041;;1756-6606;Fully Open Access;August 2020;n/a;1990;20;CC BY + CC0;n/a;;;;;
13042;International Journal of Machine Learning and Cybernetics;Springer;Engineering;https://link.springer.com/journal/13042;1868-8071;1868-808X;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
13044;Thyroid Research;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/13044;;1756-6614;Fully Open Access;August 2020;n/a;1870;20;CC BY + CC0;n/a;;;;;
13045;Journal of Hematology and Oncology;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/13045;;1756-8722;Fully Open Access;August 2020;n/a;3170;20;CC BY + CC0;n/a;;;;;
13046;Journal of Experimental and Clinical Cancer Research;BioMed Central;Biomedicine;https://link.springer.com/journal/13046;;1756-9966;Fully Open Access;August 2020;n/a;2790;20;CC BY + CC0;n/a;;;;;
13047;Journal of Foot and Ankle Research;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/13047;;1757-1146;Fully Open Access;August 2020;n/a;1870;20;CC BY + CC0;n/a;;;;;
13048;Journal of Ovarian Research;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/13048;;1757-2215;Fully Open Access;August 2020;n/a;2040;20;CC BY + CC0;n/a;;;;;
13049;Scandinavian Journal of Trauma, Resuscitation and Emergency Medicine;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/13049;;1757-7241;Fully Open Access;August 2020;n/a;2170;20;CC BY + CC0;n/a;;;;;
13052;The Italian Journal of Pediatrics;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/13052;;1824-7288;Fully Open Access;August 2020;n/a;1745;20;CC BY + CC0;n/a;;;;;
13053;Hereditary Cancer in Clinical Practice;BioMed Central;Biomedicine;https://link.springer.com/journal/13053;;1897-4287;Fully Open Access;August 2020;n/a;2040;20;CC BY + CC0;n/a;;;;;
13054;Critical Care;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/13054;;1364-8535;Fully Open Access;August 2020;n/a;2680;20;CC BY + CC0;n/a;;;;;
13058;Breast Cancer Research;BioMed Central;Biomedicine;https://link.springer.com/journal/13058;;1465-542X;Fully Open Access;August 2020;n/a;2790;20;CC BY + CC0;n/a;;;;;
13059;Genome Biology;BioMed Central;Life Sciences;https://link.springer.com/journal/13059;;1474-760X;Fully Open Access;August 2020;n/a;4040;20;CC BY + CC0;n/a;;;;;
13062;Biology Direct;BioMed Central;Life Sciences;https://link.springer.com/journal/13062;;1745-6150;Fully Open Access;August 2020;n/a;1745;20;CC BY + CC0;n/a;;;;;
13063;Trials;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/13063;;1745-6215;Fully Open Access;August 2020;n/a;1790;20;CC BY + CC0;n/a;;;;;
13064;Neural Development;BioMed Central;Biomedicine;https://link.springer.com/journal/13064;;1749-8104;Fully Open Access;August 2020;n/a;2040;20;CC BY + CC0;n/a;;;;;
13065;BMC Chemistry;Springer;Chemistry;https://link.springer.com/journal/13065;;2661-801X;Fully Open Access;August 2020;n/a;1790;20;CC BY + CC0;n/a;;;;;
13068;Biotechnology for Biofuels;BioMed Central;Chemistry;https://link.springer.com/journal/13068;;1754-6834;Fully Open Access;August 2020;n/a;2290;20;CC BY + CC0;n/a;;;;;
13071;Parasites and Vectors;BioMed Central;Biomedicine;https://link.springer.com/journal/13071;;1756-3305;Fully Open Access;August 2020;n/a;1990;20;CC BY + CC0;n/a;;;;;
13072;Epigenetics and Chromatin;BioMed Central;Life Sciences;https://link.springer.com/journal/13072;;1756-8935;Fully Open Access;August 2020;n/a;2290;20;CC BY + CC0;n/a;;;;;
13073;Genome Medicine;BioMed Central;Biomedicine;https://link.springer.com/journal/13073;;1756-994X;Fully Open Access;August 2020;n/a;3490;20;CC BY + CC0;n/a;;;;;
13075;Arthritis Research and Therapy;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/13075;;1478-6362;Fully Open Access;August 2020;n/a;2290;20;CC BY + CC0;n/a;;;;;
13089;The Ultrasound Journal;Springer;Medicine & Public Health;https://link.springer.com/journal/13089;;2524-8987;Fully Open Access;August 2020;n/a;1990;20;CC BY;n/a;;;;;
13098;Diabetology and Metabolic Syndrome;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/13098;;1758-5996;Fully Open Access;August 2020;n/a;1990;20;CC BY + CC0;n/a;;;;;
13099;Gut Pathogens;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/13099;;1757-4749;Fully Open Access;August 2020;n/a;2170;20;CC BY + CC0;n/a;;;;;
13100;Mobile DNA;BioMed Central;Biomedicine;https://link.springer.com/journal/13100;;1759-8753;Fully Open Access;August 2020;n/a;2170;20;CC BY + CC0;n/a;;;;;
13102;BMC Sports Science, Medicine and Rehabilitation;BioMed Central;Medicine & Public Health;https://link.springer.com/journal/13102;;2052-1847;Fully Open Access;August 2020;n/a;1690;20;CC BY + CC0;n/a;;;;;
13104;BMC Research Notes;BioMed Central;Biomedicine;https://link.springer.com/journal/13104;;1756-0500;Fully Open Access;August 2020;n/a;1270;20;CC BY + CC0;n/a;;;;;
13105;Journal of Physiology and Biochemistry;Springer;Biomedicine;https://link.springer.com/journal/13105;1138-7548;1877-8755;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
13126;Hellenic Journal of Surgery;Springer;Medicine & Public Health;https://link.springer.com/journal/13126;0018-0092;1868-8845;Subscription-only;January 2020;n/a;;n/a;n/a;n/a;;;;;
13127;Organisms Diversity and Evolution;Springer;Life Sciences;https://link.springer.com/journal/13127;1439-6092;1618-1077;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
13129;The European Physical Journal - H;Springer;Physics;https://link.springer.com/journal/13129;2102-6459;2102-6467;Open Choice;January 2020;n/a;;n/a;CC BY;no;;;;;
13131;Acta Oceanologica Sinica;The Chinese Society of Oceanography, co-published with Springer;Earth Sciences;https://link.springer.com/journal/13131;0253-505X;1869-1099;Subscription-only;January 2020;n/a;;n/a;n/a;n/a;;;;;
13132;Journal of the Knowledge Economy;Springer;Economics;https://link.springer.com/journal/13132;;1868-7873;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
13137;GEM - International Journal on Geomathematics;Springer;Mathematics;https://link.springer.com/journal/13137;1869-2672;1869-2680;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;Standard Hybrid Specific Workflow updated;;2019-11-29
13138;Journal f�r Mathematik-Didaktik;Springer;Education;https://link.springer.com/journal/13138;0173-5322;1869-2699;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
13139;Nuclear Medicine and Molecular Imaging;Springer;Medicine & Public Health;https://link.springer.com/journal/13139;1869-3474;1869-3482;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
13140;Gyroscopy and Navigation;Pleiades Publishing;Engineering;https://link.springer.com/journal/13140;2075-1087;2075-1109;Subscription-only;January 2020;n/a;;n/a;n/a;n/a;;;;;
13143;Asia-Pacific Journal of Atmospheric Sciences;Korean Meteorological Society, co-published with Springer;Earth Sciences;https://link.springer.com/journal/13143;1976-7633;1976-7951;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
13146;Carbonates and Evaporites;Springer;Earth Sciences;https://link.springer.com/journal/13146;0891-2556;1878-5212;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
13148;Clinical Epigenetics;BioMed Central;Biomedicine;https://link.springer.com/journal/13148;;1868-7083;Fully Open Access;August 2020;n/a;2570;20;CC BY + CC0;n/a;;;;;
13157;Wetlands :: Journal of the Society of Wetland Scientists;Springer;Life Sciences;https://link.springer.com/journal/13157;0277-5212;1943-6246;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
13158;International Journal of Early Childhood;Springer;Education;https://link.springer.com/journal/13158;0020-7187;1878-4658;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
13160;Japan Journal of Industrial and Applied Mathematics;Springer;Mathematics;https://link.springer.com/journal/13160;0916-7005;1868-937X;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
13162;AMS Review;Springer;Business and Management;https://link.springer.com/journal/13162;1869-814X;1869-8182;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
13163;Revista Matem�tica Complutense;Springer;Mathematics;https://link.springer.com/journal/13163;1139-1138;1988-2807;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
13164;Review of Philosophy and Psychology;Springer;Philosophy;https://link.springer.com/journal/13164;;1878-5166;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
13165;Organic Agriculture;Springer;Life Sciences;https://link.springer.com/journal/13165;1879-4238;1879-4246;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
13167;EPMA Journal;Springer;Biomedicine;https://link.springer.com/journal/13167;1878-5077;1878-5085;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
13168;Russian Journal of Biological Invasions;Pleiades Publishing;Life Sciences;https://link.springer.com/journal/13168;2075-1117;2075-1125;Subscription-only;January 2020;n/a;;n/a;n/a;n/a;;;;;
13171;Sankhya A :: The Indian Journal of Statistics;Springer;Mathematics and Statistics;https://link.springer.com/journal/13171;0976-836X;0976-8378;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;Combined subscription to Sankhya A & Sankhya B (title no. 13572).;;
13173;Journal of the Brazilian Computer Society;Springer;Computer Science;https://link.springer.com/journal/13173;;1678-4804;Fully Open Access;August 2020;n/a;885;20;CC BY;n/a;;;;;
13174;Journal of Internet Services and Applications;Springer;Computer Science;https://link.springer.com/journal/13174;;1869-0238;Fully Open Access;August 2020;n/a;885;20;CC BY;n/a;;;;;
13177;International Journal of Intelligent Transportation Systems Research;Springer;Engineering;https://link.springer.com/journal/13177;1348-8503;1868-8659;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
13178;Sexuality Research and Social Policy;Springer;Psychology;https://link.springer.com/journal/13178;;1553-6610;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
